Unique ID,3-Year Period,Cause of Death,Race,Hispanic or Latino  Origin,Gender,"Age-Adjusted Rate per 100,000 Population",Lower 95% Confidence Interval,Upper 95% Confidence Interval
A2009201106000,2009-2011,Meningococcal infection,Total,Total,Total,,,
A2009201107000,2009-2011,Septicemia,Total,Total,Total,11.8,10.6,13
A2009201108000,2009-2011,Syphilis,Total,Total,Total,0,0,0.1
A2009201109000,2009-2011,Acute poliomyelitis,Total,Total,Total,0,0,0.1
A2009201110000,2009-2011,Arthropod-borne viral encephalitis,Total,Total,Total,0,0,0.1
A2009201111000,2009-2011,Measles,Total,Total,Total,0,0,0.1
A2009201112000,2009-2011,Viral hepatitis,Total,Total,Total,1.1,0.7,1.4
A2009201113000,2009-2011,Human immunodeficiency virus (HIV) disease,Total,Total,Total,1.3,0.9,1.8
A2009201114000,2009-2011,Malaria,Total,Total,Total,,,
A2009201115000,2009-2011,Malignant neoplasms,Total,Total,Total,127.3,123.3,131.3
A2009201116000,2009-2011,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",Total,Total,Total,4,3.3,4.7
A2009201117000,2009-2011,Anemias,Total,Total,Total,1.6,1.2,2.1
A2009201118000,2009-2011,Diabetes mellitus,Total,Total,Total,12.4,11.2,13.6
A2009201119000,2009-2011,Nutritional deficiencies,Total,Total,Total,,,
A2009201120000,2009-2011,Meningitis,Total,Total,Total,,,
A2009201121000,2009-2011,Parkinson's disease,Total,Total,Total,7,6,7.9
A2009201122000,2009-2011,Alzheimer's disease,Total,Total,Total,14.5,13.2,15.8
A2009201123000,2009-2011,Certain other intestinal infections,Total,Total,Total,3.5,2.9,4.2
A2009201124000,2009-2011,Other infectious and parasitic diseases,Total,Total,Total,1.9,1.4,2.4
A2009201125000,2009-2011,Cardiovascular diseases,Total,Total,Total,163.2,158.8,167.6
A2009201126000,2009-2011,Other disorders of circulatory system,Total,Total,Total,0.6,0.3,0.8
A2009201127000,2009-2011,Other diseases of respiratory system,Total,Total,Total,8,7,9
A2009201128000,2009-2011,Influenza and pneumonia,Total,Total,Total,14.5,13.1,15.8
A2009201129000,2009-2011,Acute bronchitis and bronchiolitis,Total,Total,Total,,,
A2009201130000,2009-2011,Chronic lower respiratory diseases,Total,Total,Total,19.5,17.9,21
A2009201131000,2009-2011,Pneumoconioses and chemical effects,Total,Total,Total,0,0,0.1
A2009201132000,2009-2011,Pneumonitis due to solids and liquids,Total,Total,Total,4.2,3.5,4.9
A2009201133000,2009-2011,Peptic ulcer,Total,Total,Total,0.5,0.3,0.8
A2009201134000,2009-2011,Diseases of appendix,Total,Total,Total,,,
A2009201135000,2009-2011,Hernia,Total,Total,Total,,,
A2009201136000,2009-2011,Chronic liver disease and cirrhosis,Total,Total,Total,3.8,3.2,4.5
A2009201137000,2009-2011,Cholelithiasis and other disorders of gallbladder,Total,Total,Total,0.9,0.6,1.3
A2009201138000,2009-2011,"Nephritis, nephrotic syndrome and nephrosis",Total,Total,Total,9.3,8.2,10.4
A2009201139000,2009-2011,Infections of kidney,Total,Total,Total,,,
A2009201140000,2009-2011,Hyperplasia of prostate,Total,Total,Total,,,
A2009201141000,2009-2011,Inflammatory diseases of female pelvic organs,Total,Total,Total,0,0,0.1
A2009201142000,2009-2011,"Pregnancy, childbirth and the puerperium",Total,Total,Total,,,
A2009201143000,2009-2011,Certain conditions originating in the perinatal period,Total,Total,Total,4.3,3.5,5
A2009201144000,2009-2011,"Congenital malformations, deformations and chromosomal abnormalities",Total,Total,Total,2.6,2,3.2
A2009201145000,2009-2011,Accidents (unintentional injuries),Total,Total,Total,16.7,15.2,18.1
A2009201146000,2009-2011,Intentional self-harm (suicide),Total,Total,Total,7.4,6.4,8.3
A2009201147000,2009-2011,Assault (homicide),Total,Total,Total,2.1,1.6,2.7
A2009201148000,2009-2011,Legal intervention,Total,Total,Total,,,
A2009201149000,2009-2011,Operations of war and their sequelae,Total,Total,Total,0,0,0.1
A2009201150000,2009-2011,Complications of medical and surgical care,Total,Total,Total,0.7,0.4,1
A2009201151000,2009-2011,Events of undetermined intent,Total,Total,Total,3.2,2.5,3.8
A2009201152000,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Total,Total,4.2,3.5,4.9
A2009201153000,2009-2011,All other diseases (residual),Total,Total,Total,69.8,66.9,72.7
A2008201000000,2008-2010,All causes of mortality,Total,Total,Total,533.5,525.5,541.5
A2008201001000,2008-2010,Salmonella infections,Total,Total,Total,,,
A2008201002000,2008-2010,Shigellosis and amebiasis,Total,Total,Total,0,0,0.1
A2008201003000,2008-2010,Tuberculosis,Total,Total,Total,,,
A2008201004000,2008-2010,Whooping cough,Total,Total,Total,0,0,0.1
A2008201005000,2008-2010,Scarlet fever and erysipelas,Total,Total,Total,0,0,0.1
A2008201006000,2008-2010,Meningococcal infection,Total,Total,Total,0,0,0.1
A2008201007000,2008-2010,Septicemia,Total,Total,Total,13,11.7,14.3
A2008201008000,2008-2010,Syphilis,Total,Total,Total,0,0,0.1
A2008201009000,2008-2010,Acute poliomyelitis,Total,Total,Total,0,0,0.1
A2008201010000,2008-2010,Arthropod-borne viral encephalitis,Total,Total,Total,0,0,0.1
A2008201011000,2008-2010,Measles,Total,Total,Total,0,0,0.1
A2008201012000,2008-2010,Viral hepatitis,Total,Total,Total,0.9,0.6,1.2
A2008201013000,2008-2010,Human immunodeficiency virus (HIV) disease,Total,Total,Total,1.5,1.1,1.9
A2008201014000,2008-2010,Malaria,Total,Total,Total,,,
A2008201015000,2008-2010,Malignant neoplasms,Total,Total,Total,130.9,126.8,135
A2008201016000,2008-2010,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",Total,Total,Total,3.8,3.1,4.5
A2008201017000,2008-2010,Anemias,Total,Total,Total,1.7,1.2,2.2
A2008201018000,2008-2010,Diabetes mellitus,Total,Total,Total,11.9,10.6,13.1
A2008201019000,2008-2010,Nutritional deficiencies,Total,Total,Total,,,
A2008201020000,2008-2010,Meningitis,Total,Total,Total,,,
A2008201021000,2008-2010,Parkinson's disease,Total,Total,Total,6.8,5.8,7.8
A2008201022000,2008-2010,Alzheimer's disease,Total,Total,Total,15.2,13.8,16.5
A2008201023000,2008-2010,Certain other intestinal infections,Total,Total,Total,3.5,2.8,4.1
A2008201024000,2008-2010,Other infectious and parasitic diseases,Total,Total,Total,1.8,1.3,2.2
A2008201025000,2008-2010,Cardiovascular diseases,Total,Total,Total,168.5,163.9,173
A2008201026000,2008-2010,Other disorders of circulatory system,Total,Total,Total,1,0.6,1.3
A2008201027000,2008-2010,Other diseases of respiratory system,Total,Total,Total,7.9,6.9,8.9
A2008201028000,2008-2010,Influenza and pneumonia,Total,Total,Total,16.8,15.4,18.3
A2008201029000,2008-2010,Acute bronchitis and bronchiolitis,Total,Total,Total,,,
A2008201030000,2008-2010,Chronic lower respiratory diseases,Total,Total,Total,19.3,17.7,20.9
A2008201031000,2008-2010,Pneumoconioses and chemical effects,Total,Total,Total,,,
A2008201032000,2008-2010,Pneumonitis due to solids and liquids,Total,Total,Total,4.3,3.6,5
A2008201033000,2008-2010,Peptic ulcer,Total,Total,Total,,,
A2008201034000,2008-2010,Diseases of appendix,Total,Total,Total,,,
A2008201035000,2008-2010,Hernia,Total,Total,Total,0.5,0.2,0.7
A2008201036000,2008-2010,Chronic liver disease and cirrhosis,Total,Total,Total,3.6,2.9,4.3
A2008201037000,2008-2010,Cholelithiasis and other disorders of gallbladder,Total,Total,Total,0.9,0.5,1.2
A2008201038000,2008-2010,"Nephritis, nephrotic syndrome and nephrosis",Total,Total,Total,9.6,8.5,10.7
A2008201039000,2008-2010,Infections of kidney,Total,Total,Total,0,0,0.1
A2008201040000,2008-2010,Hyperplasia of prostate,Total,Total,Total,,,
A2008201041000,2008-2010,Inflammatory diseases of female pelvic organs,Total,Total,Total,0,0,0.1
A2008201042000,2008-2010,"Pregnancy, childbirth and the puerperium",Total,Total,Total,,,
A2008201043000,2008-2010,Certain conditions originating in the perinatal period,Total,Total,Total,4.5,3.7,5.2
A2008201044000,2008-2010,"Congenital malformations, deformations and chromosomal abnormalities",Total,Total,Total,2.7,2.1,3.3
A2008201045000,2008-2010,Accidents (unintentional injuries),Total,Total,Total,17.6,16.1,19.1
A2008201046000,2008-2010,Intentional self-harm (suicide),Total,Total,Total,7,6,7.9
A2008201047000,2008-2010,Assault (homicide),Total,Total,Total,2.5,1.9,3.1
A2008201048000,2008-2010,Legal intervention,Total,Total,Total,,,
A2008201049000,2008-2010,Operations of war and their sequelae,Total,Total,Total,0,0,0.1
A2008201050000,2008-2010,Complications of medical and surgical care,Total,Total,Total,0.6,0.3,0.9
A2008201051000,2008-2010,Events of undetermined intent,Total,Total,Total,3.8,3.1,4.6
A2008201052000,2008-2010,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Total,Total,4.3,3.6,5.1
A2008201053000,2008-2010,All other diseases (residual),Total,Total,Total,65.7,62.9,68.6
A2007200900000,2007-2009,All causes of mortality,Total,Total,Total,540.9,532.8,549
A2007200901000,2007-2009,Salmonella infections,Total,Total,Total,0,0,0.1
A2007200902000,2007-2009,Shigellosis and amebiasis,Total,Total,Total,0,0,0.1
A2007200903000,2007-2009,Tuberculosis,Total,Total,Total,,,
A2007200904000,2007-2009,Whooping cough,Total,Total,Total,0,0,0.1
A2007200905000,2007-2009,Scarlet fever and erysipelas,Total,Total,Total,0,0,0.1
A2007200906000,2007-2009,Meningococcal infection,Total,Total,Total,0,0,0.1
A2007200907000,2007-2009,Septicemia,Total,Total,Total,13.5,12.2,14.8
A2007200908000,2007-2009,Syphilis,Total,Total,Total,0,0,0.1
A2007200909000,2007-2009,Acute poliomyelitis,Total,Total,Total,0,0,0.1
A2007200910000,2007-2009,Arthropod-borne viral encephalitis,Total,Total,Total,0,0,0.1
A2007200911000,2007-2009,Measles,Total,Total,Total,0,0,0.1
A2007200912000,2007-2009,Viral hepatitis,Total,Total,Total,0.9,0.6,1.3
A2007200913000,2007-2009,Human immunodeficiency virus (HIV) disease,Total,Total,Total,1.6,1.1,2
A2007200914000,2007-2009,Malaria,Total,Total,Total,0,0,0.1
A2007200915000,2007-2009,Malignant neoplasms,Total,Total,Total,131.2,127.1,135.3
A2007200916000,2007-2009,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",Total,Total,Total,4.3,3.6,5.1
A2007200917000,2007-2009,Anemias,Total,Total,Total,1.3,0.8,1.7
A2007200918000,2007-2009,Diabetes mellitus,Total,Total,Total,12.7,11.4,14
A2007200919000,2007-2009,Nutritional deficiencies,Total,Total,Total,0.4,0.2,0.6
A2007200920000,2007-2009,Meningitis,Total,Total,Total,,,
A2007200921000,2007-2009,Parkinson's disease,Total,Total,Total,6.9,5.9,7.8
A2007200922000,2007-2009,Alzheimer's disease,Total,Total,Total,14.7,13.3,16
A2007200923000,2007-2009,Certain other intestinal infections,Total,Total,Total,3.2,2.5,3.8
A2007200924000,2007-2009,Other infectious and parasitic diseases,Total,Total,Total,1.8,1.3,2.3
A2007200925000,2007-2009,Cardiovascular diseases,Total,Total,Total,171.1,166.5,175.7
A2007200926000,2007-2009,Other disorders of circulatory system,Total,Total,Total,0.9,0.6,1.3
A2007200927000,2007-2009,Other diseases of respiratory system,Total,Total,Total,7.3,6.4,8.3
A2007200928000,2007-2009,Influenza and pneumonia,Total,Total,Total,17.9,16.4,19.4
A2007200929000,2007-2009,Acute bronchitis and bronchiolitis,Total,Total,Total,,,
A2007200930000,2007-2009,Chronic lower respiratory diseases,Total,Total,Total,21.3,19.6,22.9
A2007200931000,2007-2009,Pneumoconioses and chemical effects,Total,Total,Total,,,
A2007200932000,2007-2009,Pneumonitis due to solids and liquids,Total,Total,Total,4.9,4.1,5.6
A2007200933000,2007-2009,Peptic ulcer,Total,Total,Total,,,
A2007200934000,2007-2009,Diseases of appendix,Total,Total,Total,,,
A2007200935000,2007-2009,Hernia,Total,Total,Total,,,
A2007200936000,2007-2009,Chronic liver disease and cirrhosis,Total,Total,Total,3.7,3,4.4
A2007200937000,2007-2009,Cholelithiasis and other disorders of gallbladder,Total,Total,Total,0.8,0.5,1.1
A2007200938000,2007-2009,"Nephritis, nephrotic syndrome and nephrosis",Total,Total,Total,9.2,8.1,10.3
A2007200939000,2007-2009,Infections of kidney,Total,Total,Total,0,0,0.1
A2007200940000,2007-2009,Hyperplasia of prostate,Total,Total,Total,,,
A2007200941000,2007-2009,Inflammatory diseases of female pelvic organs,Total,Total,Total,0,0,0.1
A2007200942000,2007-2009,"Pregnancy, childbirth and the puerperium",Total,Total,Total,,,
A2007200943000,2007-2009,Certain conditions originating in the perinatal period,Total,Total,Total,4.9,4.1,5.7
A2007200944000,2007-2009,"Congenital malformations, deformations and chromosomal abnormalities",Total,Total,Total,2.5,1.9,3.1
A2007200945000,2007-2009,Accidents (unintentional injuries),Total,Total,Total,17.7,16.2,19.3
A2007200946000,2007-2009,Intentional self-harm (suicide),Total,Total,Total,7,6.1,8
A2007200947000,2007-2009,Assault (homicide),Total,Total,Total,2.9,2.2,3.5
A2007200948000,2007-2009,Legal intervention,Total,Total,Total,,,
A2007200949000,2007-2009,Operations of war and their sequelae,Total,Total,Total,,,
A2007200950000,2007-2009,Complications of medical and surgical care,Total,Total,Total,0.8,0.5,1.2
A2007200951000,2007-2009,Events of undetermined intent,Total,Total,Total,5,4.2,5.8
A2007200952000,2007-2009,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Total,Total,4.4,3.6,5.1
A2007200953000,2007-2009,All other diseases (residual),Total,Total,Total,64.3,61.4,67.1
A2006200800000,2006-2008,All causes of mortality,Total,Total,Total,552.8,544.5,561.1
A2006200801000,2006-2008,Salmonella infections,Total,Total,Total,0,0,0.1
A2006200802000,2006-2008,Shigellosis and amebiasis,Total,Total,Total,0,0,0.1
A2006200803000,2006-2008,Tuberculosis,Total,Total,Total,,,
A2006200804000,2006-2008,Whooping cough,Total,Total,Total,0,0,0.1
A2006200805000,2006-2008,Scarlet fever and erysipelas,Total,Total,Total,0,0,0.1
A2006200806000,2006-2008,Meningococcal infection,Total,Total,Total,0,0,0.1
A2006200807000,2006-2008,Septicemia,Total,Total,Total,13.6,12.3,14.9
A2006200808000,2006-2008,Syphilis,Total,Total,Total,0,0,0.1
A2006200809000,2006-2008,Acute poliomyelitis,Total,Total,Total,0,0,0.1
A2006200810000,2006-2008,Arthropod-borne viral encephalitis,Total,Total,Total,0,0,0.1
A2006200811000,2006-2008,Measles,Total,Total,Total,0,0,0.1
A2006200812000,2006-2008,Viral hepatitis,Total,Total,Total,0.9,0.5,1.2
A2006200813000,2006-2008,Human immunodeficiency virus (HIV) disease,Total,Total,Total,2,1.5,2.5
A2006200814000,2006-2008,Malaria,Total,Total,Total,0,0,0.1
A2006200815000,2006-2008,Malignant neoplasms,Total,Total,Total,134.8,130.6,139
A2006200816000,2006-2008,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",Total,Total,Total,4.2,3.4,4.9
A2006200817000,2006-2008,Anemias,Total,Total,Total,1.4,0.9,1.8
A2006200818000,2006-2008,Diabetes mellitus,Total,Total,Total,13.8,12.4,15.1
A2006200819000,2006-2008,Nutritional deficiencies,Total,Total,Total,0.5,0.3,0.8
A2006200820000,2006-2008,Meningitis,Total,Total,Total,,,
A2006200821000,2006-2008,Parkinson's disease,Total,Total,Total,7.5,6.5,8.6
A2006200822000,2006-2008,Alzheimer's disease,Total,Total,Total,13.7,12.4,15
A2006200823000,2006-2008,Certain other intestinal infections,Total,Total,Total,2.7,2.1,3.3
A2006200824000,2006-2008,Other infectious and parasitic diseases,Total,Total,Total,1.6,1.1,2.1
A2006200825000,2006-2008,Cardiovascular diseases,Total,Total,Total,177.5,172.7,182.2
A2006200826000,2006-2008,Other disorders of circulatory system,Total,Total,Total,1,0.7,1.4
A2006200827000,2006-2008,Other diseases of respiratory system,Total,Total,Total,7.2,6.2,8.2
A2006200828000,2006-2008,Influenza and pneumonia,Total,Total,Total,19.4,17.8,20.9
A2006200829000,2006-2008,Acute bronchitis and bronchiolitis,Total,Total,Total,,,
A2006200830000,2006-2008,Chronic lower respiratory diseases,Total,Total,Total,21.9,20.2,23.6
A2006200831000,2006-2008,Pneumoconioses and chemical effects,Total,Total,Total,,,
A2006200832000,2006-2008,Pneumonitis due to solids and liquids,Total,Total,Total,5.1,4.3,6
A2006200833000,2006-2008,Peptic ulcer,Total,Total,Total,,,
A2006200834000,2006-2008,Diseases of appendix,Total,Total,Total,,,
A2006200835000,2006-2008,Hernia,Total,Total,Total,,,
A2006200836000,2006-2008,Chronic liver disease and cirrhosis,Total,Total,Total,3.7,3,4.4
A2006200837000,2006-2008,Cholelithiasis and other disorders of gallbladder,Total,Total,Total,0.6,0.3,0.9
A2006200838000,2006-2008,"Nephritis, nephrotic syndrome and nephrosis",Total,Total,Total,8.5,7.5,9.6
A2006200839000,2006-2008,Infections of kidney,Total,Total,Total,0,0,0.1
A2006200840000,2006-2008,Hyperplasia of prostate,Total,Total,Total,,,
A2006200841000,2006-2008,Inflammatory diseases of female pelvic organs,Total,Total,Total,0,0,0.1
A2006200842000,2006-2008,"Pregnancy, childbirth and the puerperium",Total,Total,Total,,,
A2006200843000,2006-2008,Certain conditions originating in the perinatal period,Total,Total,Total,5.5,4.7,6.4
A2006200844000,2006-2008,"Congenital malformations, deformations and chromosomal abnormalities",Total,Total,Total,2.9,2.2,3.5
A2006200845000,2006-2008,Accidents (unintentional injuries),Total,Total,Total,18,16.4,19.5
A2006200846000,2006-2008,Intentional self-harm (suicide),Total,Total,Total,6.5,5.6,7.5
A2006200847000,2006-2008,Assault (homicide),Total,Total,Total,3.2,2.5,3.9
A2006200848000,2006-2008,Legal intervention,Total,Total,Total,,,
A2006200849000,2006-2008,Operations of war and their sequelae,Total,Total,Total,,,
A2006200850000,2006-2008,Complications of medical and surgical care,Total,Total,Total,0.6,0.4,0.9
A2006200851000,2006-2008,Events of undetermined intent,Total,Total,Total,5.3,4.5,6.1
A2006200852000,2006-2008,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Total,Total,3.4,2.7,4.1
A2006200853000,2006-2008,All other diseases (residual),Total,Total,Total,63.9,61.1,66.8
